Name,Text,Target
EthVenturesFinal1,"['EthVenturesFinal', 'manager', 'investors', 'total_investors', 'fees', 'balance', 'totaldeposited', 'totalpaidout', 'totaldividends', 'Message_To_Investors', 'owner', 'PRE_payout', 'PRE_amount', 'PRE_i', 'amount', 'alreadyinvestor', 'alreadyinvestor_id', 'i', 'InvestorArray', 'InvestorArray has etherAddress', 'InvestorArray has amount', 'EthVenturesFinal', '', 'Enter', 'NewOwner', 'Emergency', 'EmergencyBalanceReset', 'NewMessage', 'NewManualInvestor', 'ManualDeposit', 'owner is equal to msg sender', 'If msg value is less then 2 ether', 'totalpaidout increments of PRE_amount divided by 100', 'PRE_amount decreases of PRE_amount divided by 100', 'If investors length is different from 0 Invalid symbol ', None, 'PRE_i is less then investors length', 'PRE_payout is equal to PRE_amount multiplied by investors PRE_i amount divided by totaldeposited', 'totalpaidout increments of PRE_payout', 'totaldividends increments of PRE_payout', 'Message_To_Investors is equal to Dividends have been paid out!', 'fees is equal to amount divided by 100', 'totaldeposited increments of amount', 'amount decreases of amount divided by 100', 'balance increments of amount', None, 'i is less then investors length', 'If msg sender corresponds to investors i etherAddress', 'alreadyinvestor is equal to True', 'alreadyinvestor_id is equal to i', 'If alreadyinvestor corresponds to False', 'total_investors is equal to investors length plus 1', 'investors length increments of 1', ' etherAddress is equal to msg sender', ' amount is equal to amount', 'Message_To_Investors is equal to New Investor has joined us!', 'investors alreadyinvestor_id amount increments of amount', 'If fees is different from 0', 'totalpaidout increments of fees', 'owner is equal to new_owner', 'Message_To_Investors is equal to The contract has a new manager!', 'If balance is different from 0', 'balance is equal to 0', 'Message_To_Investors is equal to Emergency Withdraw has been issued!', 'balance is equal to new_balance', 'Message_To_Investors is equal to The Balance has been edited by the Manager!', 'Message_To_Investors is equal to new_sms', 'total_investors is equal to investors length plus 1', 'investors length increments of 1', ' etherAddress is equal to new_investor', ' amount is equal to new_amount', 'Message_To_Investors is equal to New manual Investor has been added by the Manager!', 'totaldeposited increments of msg value', 'balance increments of msg value', 'Message_To_Investors is equal to Manual Deposit received from the Manager']",1
BestBankWithInterest,"['Best_Bank_with_Interest', 'balances', 'term_deposit_end_block', 'thebank', 'minimum_deposit_amount', 'deposit_fee', 'contract_alive_until_this_block', 'count_customer_deposits', 'interest', 'Best_Bank_with_Interest', 'deposit', 'withdraw', 'set_minimum_payment', 'set_deposit_fee', 'get_available_interest_amount', 'get_term_deposit_end_date', 'get_balance', 'extend_life_of_contract', 'close_bank', '', 'thebank is equal to msg sender', 'minimum_deposit_amount is equal to 250 ether', 'deposit_fee is equal to 5 ether', 'contract_alive_until_this_block is equal to 3000000', 'count_customer_deposits is equal to 0', ' is equal to contract_alive_until_this_block', 'If msg value is less then minimum_deposit_amount', 'If  corresponds to 0', 'deposit_fee is equal to 0 ether', 'If msg sender corresponds to thebank', ' increments of msg value', 'count_customer_deposits increments of 1', ' increments of msg value minus deposit_fee', ' increments of deposit_fee', ' is equal to block number plus 30850', 'If withdraw_amount is less then 10 ether', 'If withdraw_amount is greater then ', 'If block number is less then ', 'If msg sender corresponds to thebank', 'interest is equal to 0 ether', 'If interest is greater then ', 'interest is equal to ', ' decreases of interest', ' decreases of withdraw_amount', 'If ', 'If ', 'If msg sender corresponds to thebank', 'minimum_deposit_amount is equal to new_limit', 'If msg sender corresponds to thebank', 'deposit_fee is equal to new_fee', 'If msg sender is different from thebank Invalid symbol ', 'contract_alive_until_this_block is equal to newblock', ' is equal to contract_alive_until_this_block', 'If contract_alive_until_this_block is less then block number Invalid symbol ', ' increments of msg value']",1
SmallPonzi1,"['smallponzi', 'onlyowner', 'persons', 'payoutIdx', 'collectedFees', 'balance', 'owner', 'amount', 'idx', 'transactionAmount', 'Person', 'Person has etherAddress', 'Person has amount', 'smallponzi', '', 'enter', 'setOwner', 'owner is equal to msg sender', 'If msg value is less then 1 divided by 100 ether', 'If msg value is greater then 3 ether', 'amount is equal to 3 ether', 'amount is equal to msg value', 'persons length increments of 1', 'persons idx etherAddress is equal to msg sender', 'persons idx amount is equal to amount', 'If idx is different from 0', 'collectedFees increments of amount divided by 33', 'collectedFees is equal to 0', 'balance increments of amount minus amount divided by 33', 'balance increments of amount', 'While balance is greater then persons payoutIdx amount divided by 100 multiplied by 133', 'balance decreases of transactionAmount', 'payoutIdx increments of 1', 'owner is equal to _owner']",1
AI,"['Ai', 'onlyowner', 'participants', 'payoutIdx', 'collectedFees', 'balance', 'owner', 'amount', 'idx', 'transactionAmount', 'Participant', 'Participant has etherAddress', 'Participant has amount', 'Ai', '', 'enter', 'collectFees', 'setOwner', 'owner is equal to msg sender', 'If msg value is less then 10 finney', 'If msg value is greater then 100 ether', 'collectedFees increments of msg value minus 100 ether', 'amount is equal to 100 ether', 'amount is equal to msg value', 'participants length increments of 1', 'participants idx etherAddress is equal to msg sender', 'participants idx amount is equal to amount', 'If idx is different from 0', 'collectedFees increments of amount divided by 15', 'balance increments of amount minus amount divided by 15', 'collectedFees increments of amount', 'While balance is greater then participants payoutIdx amount multiplied by 2', 'balance decreases of transactionAmount', 'payoutIdx increments of 1', 'If collectedFees corresponds to 0', 'collectedFees is equal to 0', 'owner is equal to _owner']",1
ResetPonzi6,"['ResetPonzi', 'persons', 'niceGuys', 'payoutIdx', 'currentNiceGuyIdx', 'investor', 'currentNiceGuy', 'ngidx', 'idx', 'Person', 'NiceGuy', 'Person has addr', 'NiceGuy has addr2', 'ResetPonzi', '', 'enter', 'currentNiceGuy is equal to msg sender', 'If msg value is different from 9 divided by 10 ether', 'If investor is greater then 8', 'niceGuys length increments of 1', 'niceGuys ngidx addr2 is equal to msg sender', 'If investor corresponds to 10', 'currentNiceGuy is equal to niceGuys currentNiceGuyIdx addr2', 'currentNiceGuyIdx increments of 1', 'If investor is less then 9', 'persons length increments of 1', 'persons idx addr is equal to msg sender', 'investor increments of 1', 'If investor corresponds to 11', 'investor is equal to 0', 'While this balance is greater then 10 divided by 10 ether', 'payoutIdx increments of 1']",1
ProtectTheCastle3,"['ProtectTheCastle', 'jester', 'lastReparation', 'piggyBank', 'collectedFee', 'citizensAddresses', 'citizensAmounts', 'totalCitizens', 'lastCitizenPaid', 'bribedCitizen', 'round', 'amountAlreadyPaidBack', 'amountInvested', 'SIX_HOURS', 'amount', 'ProtectTheCastle', 'repairTheCastle', '', 'newBribedCitizen', 'collectFee', 'newJester', 'bribedCitizen is equal to msg sender', 'jester is equal to msg sender', 'lastReparation is equal to block timestamp', 'amountAlreadyPaidBack is equal to 0', 'amountInvested is equal to 0', 'totalCitizens is equal to 0', 'If amount is less then 10 finney', 'If amount is greater then 100 ether', 'amount is equal to 100 ether', 'If lastReparation plus SIX_HOURS is less then block timestamp', 'If totalCitizens corresponds to 1', 'piggyBank is equal to 0', 'jester is equal to msg sender', 'lastReparation is equal to block timestamp', 'totalCitizens increments of 1', 'amountInvested increments of amount', 'piggyBank increments of amount', 'collectedFee increments of amount multiplied by 3 divided by 100', 'round increments of 1', 'lastReparation is equal to block timestamp', 'totalCitizens increments of 1', 'amountInvested increments of amount', 'piggyBank increments of ', 'collectedFee increments of amount multiplied by 3 divided by 100', 'While  is less then  Invalid symbol ', 'amountAlreadyPaidBack increments of ', 'lastCitizenPaid increments of 1', 'If msg sender corresponds to bribedCitizen', 'bribedCitizen is equal to newBribedCitizen', 'If msg sender corresponds to bribedCitizen', 'If msg sender corresponds to jester', 'jester is equal to newJester']",1
NoFeePonzi,"['NoFeePonzi', 'MIN_VALUE', 'MAX_VALUE', 'RET_MUL', 'RET_DIV', 'payouts', 'payoutIndex', 'payoutTotal', 'entryIndex', 'Payout', 'Payout has addr', 'Payout has yield', 'NoFeePonzi', '', 'If  Invalid symbol ', 'payouts length increments of 1', 'payouts entryIndex addr is equal to msg sender', 'payouts entryIndex yield is equal to  divided by RET_DIV', 'While payouts payoutIndex yield is less then this balance', 'payoutTotal increments of payouts payoutIndex yield', 'payoutIndex increments of 1']",1
x15v2,"['x15', 'onlyowner', 'participants', 'payoutIdx', 'collectedFees', 'balance', 'owner', 'idx', 'transactionAmount', 'Participant', 'Participant has etherAddress', 'Participant has amount', 'Doubler', '', 'enter', 'collectFees', 'setOwner', 'owner is equal to msg sender', 'If msg value is less then 1 ether', 'participants length increments of 1', 'participants idx etherAddress is equal to msg sender', 'participants idx amount is equal to msg value', 'If idx is different from 0', 'collectedFees increments of msg value divided by 30', 'balance increments of msg value', 'collectedFees increments of msg value', 'If balance is greater then participants payoutIdx amount multiplied by 2', 'balance decreases of participants payoutIdx amount multiplied by 2', 'payoutIdx increments of 1', 'If collectedFees corresponds to 0', 'collectedFees is equal to 0', 'owner is equal to _owner']",1
GreedPit,"['GreedPit', 'onlyowner', 'Jump', 'Rescue', 'NewHero', 'owner', 'balance', 'uniqueUsers', 'usersProfits', 'rescues', 'collectedFees', 'jumpFee', 'baseMultiplier', 'maxMultiplier', 'payoutOrder', 'rescueRecord', 'timeOfLastDeposit', 'hero', 'users', 'entries', 'dValue', 'tokensToUse', 'tokensUsed', 'randMultiplier', 'currentEntries', 'finalMultiplier', 'saviour', 'entryPayout', 'entryDeposit', 'profit', 'saviourShare', 'isHero', 'payout', 'FACTOR', 'factor', 'lastBlockNumber', 'hashVal', 'User', 'Entry', 'User has id', 'User has addr', 'User has nickname', 'User has rescueCount', 'User has rescueTokens', 'Entry has entryAddress', 'Entry has deposit', 'Entry has payout', 'Entry has tokens', 'GreedPit', '', 'init', 'jumpIn', 'rand', 'addNewUser', 'collectFees', 'changeOwner', 'changeBaseMultiplier', 'changeMaxMultiplier', 'changeFee', 'setNickname', 'currentBalance', 'heroOfThePit', 'userName', 'totalRescues', 'multipliers', 'pitFee', 'nextPayoutGoal', 'unclaimedFees', 'totalEntries', 'totalUsers', 'awaitingPayout', 'entryDetails', 'userId', 'userTokens', 'userRescues', 'userProfits', 'recycle', 'owner is equal to msg sender', 'If msg value is less then 100 finney', 'If msg value is greater then 5', 'timeOfLastDeposit is equal to now', 'If msg value is greater then 50 ether', 'If this balance is greater or equal to balance plus collectedFees plus msg value', 'dValue is equal to 50 ether', 'dValue is equal to msg value', 'randMultiplier is equal to ', 'randMultiplier is equal to ', 'randMultiplier is equal to ', 'While tokensToUse is greater then 0 Invalid symbol ', 'If finalMultiplier is greater then maxMultiplier', 'finalMultiplier is equal to maxMultiplier', 'If msg value is less then 50 ether', 'If msg value is less then 50 ether', 'msg sender rescueTokens decreases of tokensUsed', 'balance increments of  divided by 100', 'collectedFees increments of  divided by 100', 'While balance is greater then entries payoutOrder payout', 'saviour is equal to False', 'If msg sender addr is different from entries payoutOrder entryAddress', 'If entryDeposit is greater or equal to 1 ether', 'msg sender rescueTokens increments of ', 'msg sender rescueTokens increments of ', 'saviour is equal to True', 'isHero is equal to entries payoutOrder entryAddress corresponds to hero', 'If saviour Invalid symbol  Invalid symbol  Invalid symbol  Invalid symbol ', 'If dValue is less then 10 ether', 'saviourShare is equal to 3 plus rand', 'saviourShare is multiplied by profit divided by 100', 'balance decreases of entryPayout', 'usersProfits increments of entryPayout', 'If saviour Invalid symbol msg sender rescueCount is greater then rescueRecord', 'rescueRecord is equal to msg sender rescueCount', 'hero is equal to msg sender', 'If users Address addr corresponds to ', 'users Address id is equal to ', 'users Address addr is equal to Address', 'users Address nickname is equal to UnnamedPlayer', 'users Address rescueCount is equal to 0', 'users Address rescueTokens is equal to 0', 'If collectedFees corresponds to 0', 'collectedFees is equal to 0', 'owner is equal to newOwner', 'If multi is less then 110 Invalid symbol ', 'baseMultiplier is equal to multi', 'If multi is less then 200 Invalid symbol ', 'maxMultiplier is equal to multi', 'If fee is less then 0 Invalid symbol ', 'jumpFee is equal to fee', 'If  is greater or equal to 2 Invalid symbol ', 'msg sender nickname is equal to name', 'pitBalance is equal to balance divided by 1 finney', 'info is equal to The balance of the pit in Finneys (contract balance minus fees).', 'theHero is equal to hero', 'nickname is equal to users theHero nickname', 'peopleSaved is equal to rescueRecord', 'info is equal to The current rescue record holder. All hail!', 'nickname is equal to users Address nickname', 'rescueCount is equal to rescues', 'info is equal to The number of times that people have been rescued from the pit (aka the number of times people made a profit).', 'BaseMultiplier is equal to baseMultiplier', 'MaxMultiplier is equal to maxMultiplier', 'info is equal to The multipliers applied to all deposits: the final multiplier is a random number between the multpliers shown divided by 100. By default x1.1~x1.5 (up to x2 if rescue tokens are used, granting +0.1 per token). It determines the amount of money you will get when rescued (a saviour share might be deducted).', 'feePercentage is equal to jumpFee', 'info is equal to The fee percentage applied to all deposits. It can change to speed payouts (max 10%).', 'finneys is equal to  divided by 1 finney', 'info is equal to The amount of Finneys (Ethers * 1000) that need to be deposited for the next payout to be executed.', 'ethers is equal to collectedFees divided by 1 ether', 'info is equal to The amount of Ethers obtained through fees that have not yet been collected by the owner.', 'count is equal to entries length', 'info is equal to The number of times that people have jumped into the pit.', 'users is equal to uniqueUsers', 'info is equal to The number of unique users that have joined the pit.', 'count is equal to entries length minus payoutOrder', 'info is equal to The number of people waiting to be saved.', 'If index is less or equal to entries length', 'user is equal to entries index entryAddress', 'nickName is equal to entries index entryAddress nickname', 'deposit is equal to entries index deposit divided by 1 finney', 'payout is equal to entries index payout divided by 1 finney', 'tokensUsed is equal to entries index tokens', 'info is equal to Entry info: user address, name, expected payout in Finneys (approximate), rescue tokens used.', 'id is equal to users user id', 'info is equal to The id of the user, represents the order in which he first joined the pit.', 'tokens is equal to ', 'info is equal to The number of Rescue Tokens the user has. Tokens are awarded when your deposits save people, and used automatically on your next deposit. They provide a 0.1 multiplier increase per token. (+0.5 max)', 'rescueCount is equal to ', 'info is equal to The number of times the user has rescued someone from the pit.', 'profits is equal to usersProfits divided by 1 finney', 'info is equal to The combined earnings of all users in Finney.', 'If now is greater or equal to timeOfLastDeposit plus 10 weeks', 'If balance is greater then 0']",1
SwarmRedistribution4,"['RES', 'SwarmRedistribution', 'SwarmRedistribution inherits from RES', 'onlyJohan', 'Transfer', 'Bought', 'Sold', 'BoughtViaJohan', 'Swarm', 'name', 'symbol', 'decimals', 'totalSupply', 'balanceOf', 'JohanNygren', 'dividendPathways', 'totalBasicIncome', 'taxRate', 'swarmTree', 'inSwarmTree', 'JohanInSwarm', 'taxCollected', 'sentAmount', 'i', 'timeStamp', 'node', 'share', 'i', 'node', 'parent', 'index', 'isJohan', 'JohanWasInSwarm', 'i', 'dividendPathway', 'Node', 'dividendPathway has from', 'dividendPathway has amount', 'dividendPathway has timeStamp', 'Node has node', 'Node has parent', 'Node has index', 'RES', 'buy', 'SwarmRedistribution', 'changeJohanNygrensAddress', 'buyViaJohan', 'sell', 'transfer', 'swarmRedistribution', 'iterateThroughSwarm', 'doSwarm', 'removeDividendPathway', 'name is equal to RES', 'symbol is equal to RES', 'decimals is equal to 18', ' is equal to msg value', 'totalSupply increments of msg value', 'taxRate is equal to 20', 'JohanNygren is equal to 0x948176CB42B65d835Ee4324914B104B66fB93B52', 'JohanNygren is equal to _newAddress', ' is equal to msg value', 'totalSupply increments of msg value', 'If  is less then _value', ' decreases of _value', 'totalSupply decreases of _value', 'If _to corresponds to msg sender', 'If  is less then _value', 'If  plus _value is less then ', 'If swarmRedistribution corresponds to True', 'sentAmount is equal to _value', 'sentAmount is equal to _value minus taxCollected', ' decreases of sentAmount', ' increments of _value minus taxCollected', 'If swarmTree length is different from 0', 'If dividendPathways _node length is different from 0', None, 'i is less then dividendPathways _node length', 'If  corresponds to False', 'If timeStamp is less or equal to _timeStamp', 'If dividendPathways _node i from corresponds to JohanNygren', 'JohanInSwarm is equal to True', '', 'share is equal to _taxCollected', 'share is equal to 0', None, 'i is less then swarmTree length', 'If node corresponds to JohanNygren', 'isJohan is equal to True', '', ' increments of share', ' increments of share', 'If dividendPathways parent index amount minus _taxCollected is greater then 0', 'dividendPathways parent index amount decreases of _taxCollected', '', 'If not JohanWasInSwarm', None, 'i is less then dividendPathways node length minus 1', ' is equal to ']",1
BalancedPonzi1,"['BalancedPonzi', 'persons', 'niceGuys', 'payoutIdx', 'currentNiceGuyIdx', 'investor', 'currentNiceGuy', 'beta', 'ngidx', 'idx', 'Person', 'NiceGuy', 'Person has addr', 'NiceGuy has addr2', 'BalancedPonzi', '', 'funnel', 'currentNiceGuy is equal to msg sender', 'beta is equal to msg sender', 'If msg value is different from 9 ether', 'If investor is greater then 8', 'niceGuys length increments of 1', 'niceGuys ngidx addr2 is equal to msg sender', 'If investor corresponds to 10', 'currentNiceGuy is equal to niceGuys currentNiceGuyIdx addr2', 'currentNiceGuyIdx increments of 1', 'If investor is less then 9', 'persons length increments of 1', 'persons idx addr is equal to msg sender', 'investor increments of 1', 'If investor corresponds to 11', 'investor is equal to 0', 'While this balance is greater then 10 ether', 'payoutIdx increments of 1']",1
LittleCactus,"['LittleCactus', 'onlyowner', 'persons', 'payoutIdx', 'collectedFees', 'balance', 'owner', 'amount', 'idx', 'transactionAmount', 'Person', 'Person has etherAddress', 'Person has amount', 'LittleCactus', '', 'enter', 'setOwner', 'owner is equal to msg sender', 'If msg value is less then 1 divided by 100 ether', 'If msg value is greater then 50 ether', 'amount is equal to 50 ether', 'amount is equal to msg value', 'persons length increments of 1', 'persons idx etherAddress is equal to msg sender', 'persons idx amount is equal to amount', 'If idx is different from 0', 'collectedFees increments of amount divided by 10', 'collectedFees is equal to 0', 'balance increments of amount minus amount divided by 10', 'balance increments of amount', 'While balance is greater then persons payoutIdx amount divided by 100 multiplied by 140', 'balance decreases of transactionAmount', 'payoutIdx increments of 1', 'owner is equal to _owner']",1
SmartRevshare2,"['Managed', 'OfficialWebsite', 'SmartRevshare', 'OfficialWebsite inherits from Managed', 'SmartRevshare inherits from OfficialWebsite', 'onlyManager', 'manager', 'Invest', 'Payout', 'currentManager', 'officialWebsite', 'investors', 'payoutIdx', 'currentManager', 'balance', 'payoutValue', 'currDay', 'idx', 'Investor', 'Investor has addr', 'Investor has value', 'Investor has lastDay', 'Investor has leftPayDays', 'Managed', 'setOfficialWebsite', 'SmartRevshare', 'found', '', 'invest', 'payout', 'getDay', 'calculateROI', 'currentManager is equal to msg sender', 'officialWebsite is equal to url', 'currentManager is equal to msg sender', 'balance increments of msg value', 'balance increments of msg value', 'If msg value is less then 100 finney', 'balance increments of msg value multiplied by 99 divided by 100', None, 'idx is less then investors length', 'payoutValue is equal to investors idx value divided by 100', 'If balance is less then payoutValue', 'If investors idx lastDay is greater or equal to currDay', 'If investors idx leftPayDays is less or equal to 0', 'payoutIdx is equal to idx', 'investors idx lastDay is equal to currDay', 'investors idx leftPayDays decreases of 1', 'balance decreases of payoutValue', 'If msg value is less or equal to 1 ether', 'If msg value is less or equal to 10 ether', 'If msg value is less or equal to 100 ether']",1
PlusOnePonzi2,"['plusOnePonzi', 'VALUE', 'payouts', 'payoutIndex', 'payoutTotal', 'entryIndex', 'Payout', 'Payout has addr', 'Payout has yield', 'PlusOnePonzi', '', 'If msg value is less then VALUE', 'payouts length increments of 1', 'payouts entryIndex addr is equal to msg sender', 'payouts entryIndex yield is equal to 10 ether', 'While payouts payoutIndex yield is less then this balance', 'payoutTotal increments of payouts payoutIndex yield', 'payoutIndex increments of 1']",1
